AID|Romaji|Kanji|English|Year|EpsTotal|Eps|EpsSpec|Rating|TmpRating|Vote|TmpVote|Reviews|ReviewsRating|TypeID|TypeName|isAdult
4847|Evangelion Shin Gekijouban: Jo|ヱヴァンゲリヲン新劇場版:序|Evangelion: 1.0 You Are (Not) Alone|2007|12|1|10|8.14|8.06|6888|6950|4|7.54|4|Movie|0
7565|Evangelion Shin Gekijouban: Q|ヱヴァンゲリヲン新劇場版: Q|Evangelion: 3.0 You Can (Not) Redo|2012|38|1|29|6.38|7.16|3882|3901|3|5.77|4|Movie|0
5132|Eve no Jikan|イヴの時間|Time of Eve|2008-2009|7|6|1|8.74|8.41|5526|5571|3|8.94|6|Web|0
6662|Fairy Tail|FAIRY TAIL|Fairy Tail|2009-2013|205|175|30|6.26|7.38|6265|6389|4|5.66|2|TV Series|0
9980|Fairy Tail (2014)|FAIRY TAIL (2014)|Fairy Tail (2014)|2014-2016|137|102|35|6.54|7.37|2450|2483|0|-|2|TV Series|0
2387|Fantastic Children|ファンタジックチルドレン|Fantastic Children|2004-2005|30|26|4|6.85|7.57|1995|2017|9|7.18|2|TV Series|0
3348|Fate/Stay Night|Fate/stay night|Fate/Stay Night|2006|47|24|23|6.70|7.80|14074|14323|33|7.79|2|TV Series|0
9977|Fate/Stay Night: Unlimited Blade Works (2014)|Fate/stay night [Unlimited Blade Works]|Fate/stay night [Unlimited Blade Works]|2014|41|13|28|8.18|7.93|5218|5247|3|7.33|2|TV Series|0
8160|Fate/Zero|Fate/Zero|Fate/Zero|2011|41|13|28|8.58|8.24|8504|8570|10|7.66|2|TV Series|0
8880|Fate/Zero (2012)|Fate/Zero (2012)|Fate/Zero (2012)|2012|39|12|27|8.90|8.38|7553|7599|6|8.08|2|TV Series|0
156|Final Fantasy Unlimited|FF:U -ファイナルファンタジー:アンリミテッド-|Final Fantasy: Unlimited|2001-2002|29|25|4|2.53|5.79|1744|1773|3|4.72|2|TV Series|0
1208|Final Fantasy VII: Advent Children|ファイナルファンタジーVII アドベントチルドレン|Final Fantasy VII: Advent Children|2005|22|1|15|7.20|7.98|10131|10264|18|8.04|3|OVA|0
7873|Fractale|フラクタル|Fractale|2011|18|11|7|5.58|6.97|3194|3210|5|6.59|2|TV Series|0
17|Fullmetal Panic!|フルメタル・パニック!|Full Metal Panic!|2002|40|24|15|7.37|8.10|14884|15093|23|7.56|2|TV Series|0
2710|Fullmetal Panic! The Second Raid|フルメタル・パニック! TSR The Second Raid|Full Metal Panic! The Second Raid|2005|20|13|7|8.10|8.41|11488|11640|15|8.65|2|TV Series|0
959|Fullmetal Panic? Fumoffu|フルメタル・パニック? ふもっふ|Full Metal Panic? Fumoffu|2003|16|11|5|8.24|8.49|13753|13950|21|8.29|2|TV Series|0
117|Furi Kuri|フリクリ|FLCL|2000-2001|25|6|19|7.31|7.91|13630|13825|27|8.15|3|OVA|0
87|Fushigi Yuugi|ふしぎ遊戯|Fushigi Yugi: The Mysterious Play|1995-1996|71|52|19|5.94|7.31|2186|2211|6|7.36|2|TV Series|0
242|Futari Ecchi|ふたりエッチ|Step Up Love Story|2002-2004|6|4|2|4.36|6.71|2462|2495|2|7.16|3|OVA|0
7382|Gakuen Mokushiroku: High School of the Dead|学園黙示録 HIGH SCHOOL OF THE DEAD|High School of the Dead|2010|26|12|14|5.66|7.14|9343|9451|9|6.22|2|TV Series|0
2400|Gantz|ガンツ|Gantz|2004|42|26|16|5.48|7.24|7138|7285|16|6.71|2|TV Series|0
6041|Gekijouban Bleach: Fade to Black Kimi no Na o Yobu|劇場版 BLEACH Fade to Black 君の名を呼ぶ|Bleach the Movie 3: Fade to Black|2008|5|1|4|5.41|7.01|3018|3049|1|4.83|4|Movie|0
4515|Gekijouban Bleach: Memories of Nobody|劇場版 BLEACH MEMORIES OF NOBODY|Bleach the Movie: Memories of Nobody|2006|14|1|10|5.55|7.28|5249|5323|3|6.16|4|Movie|0
5352|Gekijouban Bleach: The DiamondDust Rebellion Mou Hitotsu no Hyourinmaru|劇場版 BLEACH The DiamondDust Rebellion もう一つの氷輪丸|Bleach the Movie 2: The Diamond Dust Rebellion|2007|2|1|1|5.40|7.12|3975|4020|2|5.41|4|Movie|0
2359|Gekijouban Hagane no Renkinjutsushi: Shambala o Yuku Mono|劇場版 鋼の錬金術師 シャンバラを征[ゆ]く者|Fullmetal Alchemist the Movie: Conqueror of Shamballa|2005|12|1|7|7.03|7.87|9914|10027|10|7.29|4|Movie|0
4932|Gekijouban Kara no Kyoukai: The Garden of Sinners|劇場版 空の境界 the Garden of sinners|The Garden of Sinners|2007-2009|20|7|13|8.24|8.17|7660|7759|9|7.96|4|Movie|0
5178|Gekijouban Naruto Shippuuden|劇場版 Naruto 疾風伝|Naruto Shippuden The Movie|2007|9|1|8|4.82|6.93|3450|3506|3|5.66|4|Movie|0
6503|Gekijouban Naruto Shippuuden: Hi no Ishi o Tsugu Mono|劇場版 NARUTO 疾風伝 火の意志を継ぐ者|Naruto Shippuden the Movie: The Will of Fire|2009|6|1|5|4.74|6.74|2099|2130|2|4.66|4|Movie|0
5914|Gekijouban Naruto Shippuuden: Kizuna|劇場版 Naruto 疾風伝 絆|Naruto Shippuden the Movie: Bonds|2008|4|1|3|4.47|6.69|2634|2671|3|3.71|4|Movie|0
