AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6662|140728|139|Time Begins to Tick||動き始めた刻|25|14.07.2012 00:00|4.13|7|0|3
6662|140727|140|Enter the Neo-Oracion Seis!||新生六魔将軍[オラシオンセイス]現る!|25|21.07.2012 00:00|5.03|8|0|3
6662|140726|141|Get the Infinity Clock!||無限時計[むげんどけい]を追え!|25|28.07.2012 00:00|3.68|7|0|3
6662|140797|142|Dissonance of Battle||戦いの不協和音|25|04.08.2012 00:00|3.56|5|0|3
6662|141372|143|Anti-Link||アンチリンク|25|11.08.2012 00:00|3.57|7|0|3
6662|141529|144|Despair Unleashed||解き放たれた絶望|25|18.08.2012 00:00|4.27|7|0|3
6662|141670|145|Real Nightmare||リアルナイトメア|25|25.08.2012 00:00|3.79|7|0|3
6662|141669|146|Time Spiral||時のスパイラル|25|01.09.2012 00:00|5.77|6|0|3
6662|141668|147|To the Infinity Castle!||無限城へ!|25|08.09.2012 00:00|5.82|6|0|3
6662|141667|148|Angel Tears||天使の涙|25|15.09.2012 00:00|6.39|6|0|3
6662|143766|149|I Hear the Voice of My Friend||友の声が聴こえる|25|22.09.2012 00:00|7.38|6|0|3
6662|143765|150|Lucy and Michelle||ルーシィとミッシェル|25|29.09.2012 00:00|6.09|6|0|3
6662|144055|151|Sabertooth||剣咬の虎[セイバートゥース]|25|06.10.2012 00:00|6.67|6|0|3
6662|144054|152|And So We Aim for the Top||そしてオレたちは頂上を目指す|25|13.10.2012 00:00|5.12|6|0|3
6662|144053|153|Song of the Stars||星々の歌|25|20.10.2012 00:00|6.36|6|0|3
6662|144052|154|For All the Time We Missed Each Other||すれ違った時間の分だけ|25|27.10.2012 00:00|5.57|6|0|3
6662|145122|155|Crocus, the Flower-Blooming Capital||花咲く都・クロッカス|25|03.11.2012 00:00|5.12|6|0|3
6662|145253|156|Sky Labyrinth||空中迷宮[スカイラビリンス]|25|10.11.2012 00:00|6.18|6|0|3
6662|145263|157|New Guild||新規ギルド|25|17.11.2012 00:00|7.13|6|0|3
6662|145262|158|Night of Shooting Stars||星降ル夜ニ|25|24.11.2012 00:00|6.66|5|0|3
6662|145261|159|Lucy vs. Flare||ルーシィvs.フレア|25|01.12.2012 00:00|7.10|6|0|3
6662|145621|160|Portent||凶瑞|25|08.12.2012 00:00|5.88|6|0|3
6662|145620|161|Chariots||戦車[チャリオット]|25|15.12.2012 00:00|7.36|7|0|3
6662|145619|162|Elfman vs. Bacchus||エルフマンvs.バッカス|25|22.12.2012 00:00|5.88|6|0|3
6662|146086|163|Mirajane vs. Jenny||ミラジェーンvs.ジェニー|25|05.01.2013 00:00|5.57|6|0|3
6662|146527|164|Kagura vs. Yukino||カグラvs.ユキノ|25|12.01.2013 00:00|7.22|7|0|3
6662|146526|165|Hatred at Nightfall||怨みは夜の帳に包まれて|25|19.01.2013 00:00|7.13|6|0|3
6662|146525|166|Pandemonium||伏魔殿[パンデモニウム]|25|26.01.2013 00:00|8.52|7|0|3
6662|146900|167|100 Against 1||100対1|25|02.02.2013 00:00|9.79|11|0|3
6662|146899|168|Laxus vs. Alexei||ラクサスvs.アレクセイ|25|09.02.2013 00:00|7.24|6|0|3
6662|146898|169|Wendy vs. Shelia||ウェンディ vs. シェリア|25|16.02.2013 00:00|9.41|6|0|3
6662|146897|170|Small Fists||小さな拳|25|23.02.2013 00:00|9.56|5|0|3
